10001,21102
10002,81410
10003,56024
10004,3089
10005,7135
10006,3011
10007,6988
10009,61347
10010,31834
10011,50984
10012,24090
10013,27700
10014,31959
10016,54183
10017,16575
10018,5229
10019,42870
10020,0
10021,43631
10022,31924
10023,60998
10024,59283
10025,94600
10026,34003
10027,59707
10028,45141
10029,76003
10030,26999
10031,56438
10032,57331
10033,53926
10034,38908
10035,33969
10036,24711
10037,17416
10038,20300
10039,24527
10040,41905
10044,11661
10065,32270
10069,5199
10075,26121
10103,3
10110,0
10111,0
10112,0
10115,0
10119,92
10128,60453
10152,0
10153,0
10154,0
10162,1685
10165,2
10167,0
10168,0
10169,0
10170,2
10171,0
10172,0
10173,2
10174,0
10177,0
10199,9
10271,0
10278,0
10279,0
10280,7853
10282,4783
10301,39706
10302,19088
10303,26337
10304,42193
10305,41749
10306,55909
10307,14096
10308,27357
10309,32519
10310,24962
10311,0
10312,59304
10314,85510
10451,45713
10452,75371
10453,78309
10454,37337
10455,39665
10456,86547
10457,70496
10458,79492
10459,47308
10460,57311
10461,50502
10462,75784
10463,67970
10464,4534
10465,42230
10466,67813
10467,97060
10468,76103
10469,66631
10470,15293
10471,22922
10472,66358
10473,58519
10474,12281
10475,40931
10501,1219
10502,5487
10503,108
10504,7987
10505,851
10506,5790
10507,6408
10509,19507
10510,9988
10511,2246
10512,25590
10514,11946
10516,5289
10517,539
10518,1268
10519,316
10520,12810
10522,10875
10523,7444
10524,4421
10526,1809
10527,908
10528,12280
10530,12604
10532,4931
10533,7322
10535,555
10536,10739
10537,2416
10538,16597
10541,26339
10543,20135
10545,141
10546,1277
10547,7647
10548,3487
10549,16638
10550,37144
10552,19786
10553,10170
10560,4737
10562,31796
10566,23570
10567,19929
10570,12680
10573,38352
10576,5116
10577,6552
10578,681
10579,8675
10580,17208
10583,38982
10588,2282
10589,8475
10590,6767
10591,22540
10594,5117
10595,8195
10596,1729
10597,968
10598,28647
10601,11376
10603,17045
10604,11250
10605,18126
10606,16499
10607,6824
10701,63393
10703,20301
10704,30165
10705,38777
10706,8679
10707,10097
10708,21225
10709,9292
10710,25120
10801,40827
10803,12435
10804,14146
10805,18414
10901,23465
10910,21
10911,2
10913,5532
10914,414
10915,119
10916,4540
10917,1968
10918,11647
10919,1040
10920,8554
10921,4135
10922,1559
10923,8732
10924,13120
10925,4539
10926,3203
10927,11910
10928,4175
10930,8958
10931,1023
10932,60
10933,473
10940,48418
10941,13779
10950,47226
10952,38917
10953,252
10954,23045
10956,31521
10958,3291
10960,15093
10962,5950
10963,4298
10964,1472
10965,14791
10968,2353
10969,1267
10970,9993
10973,2126
10974,3152
10975,281
10976,2258
10977,59048
10979,234
10980,13383
10983,5532
10984,2842
10985,58
10986,1974
10987,3395
10988,896
10989,9293
10990,20631
10992,9621
10993,4769
10994,7085
10996,6756
10998,3122
11001,26883
11003,41356
11004,14016
11005,1806
11010,23821
11020,5914
11021,17729
11023,9027
11024,8002
11030,17962
11040,40782
11042,520
11050,30171
11096,8344
11101,25484
11102,34133
11103,38780
11104,27232
11105,36688
11106,38875
11109,3523
11201,51128
11203,76174
11204,78134
11205,40366
11206,81677
11207,93386
11208,94469
11209,68853
11210,62008
11211,90117
11212,84500
11213,63767
11214,88630
11215,63488
11216,54316
11217,35881
11218,75220
11219,92221
11220,99598
11221,78895
11222,36934
11223,78731
11224,47621
11225,56829
11226,101572
11228,41788
11229,80018
11230,86408
11231,33336
11232,28265
11233,67053
11234,87757
11235,79132
11236,93877
11237,49896
11238,49262
11239,13393
11351,0
11354,54878
11355,85871
11356,23438
11357,39150
11358,37546
11359,0
11360,18884
11361,28606
11362,17823
11363,6988
11364,34555
11365,42252
11366,13532
11367,41047
11368,109931
11369,38615
11370,39688
11371,0
11372,66636
11373,100820
11374,43600
11375,68733
11377,89830
11378,34981
11379,34821
11385,98592
11411,18556
11412,34882
11413,38912
11414,26148
11415,19341
11416,24861
11417,28967
11418,36256
11419,47211
11420,44354
11421,39127
11422,30425
11423,29987
11424,0
11425,0
11426,17590
11427,23593
11428,19168
11429,25105
11430,184
11432,60809
11433,32687
11434,59129
11435,53687
11436,17949
11451,0
11501,19148
11507,7406
11509,2653
11510,33048
11514,4673
11516,7556
11518,10549
11520,43341
11530,27273
11542,27633
11545,12065
11547,793
11548,2780
11549,2922
11550,56435
11552,23616
11553,26034
11554,38132
11556,17
11557,7823
11558,8370
11559,8176
11560,6464
11561,37280
11563,22666
11565,8690
11566,35321
11568,4555
11569,1398
11570,26646
11572,30574
11575,16272
11576,12366
11577,12337
11579,5055
11580,40113
11581,20844
11590,45768
11596,10480
11598,13328
11691,60035
11692,18540
11693,11916
11694,20408
